"Coupon code does not exist.","Gutschein existiert nicht."
"Your coupon is inactive.","Gutschein ist inaktiv"
"Your coupon is not valid for this store.","Gutschein ist für diesen Shop nicht gültig."
"Allowed Websites: %s.","Erlaubte Websites: %s."
"Your coupon is not valid for your Customer Group.","Gutschein ist für Ihre Kundengruppe nicht freigeschaltet."
"Allowed Customer Groups: %s.","Erlaubte Kundengruppen: %s."
"Your coupon is not valid yet. It will be active on %s.","Gutschein ist noch nicht aktiv. Er wird am %s freigeschaltet."
"Your coupon is no longer valid. It expired on %s.","Der Gutschein ist nicht mehr gültig. Er ist am %s abgelaufen."
"Your coupon was already used.","Gutschein wurde bereits eingelöst."
"It may only be used %s time(s).","Gutschein kann nur %s mal benutzt werden."
"You have already used this coupon.","Sie haben diesen Gutschein bereits eingelöst."
"It may only be used %s time(s) per customer.","Gutschein kann nur %s mal pro Kunde eingelöst werden."
"must be","ist"
"must not be","ist nicht"
"must be equal or greater than","ist mindestens"
"must be equal or less than","ist maximal"
"must be less than","muss kleiner sein als"
"must be greater than","muss größer sein als"
"must contain","enthält"
"must not contain","enthält nicht"
"must be one of","ist eines von"
"must not be one of","ist nicht eines von"
"total quantity","Gesamtmenge"
"total amount","Gesamtsumme"
"All of the following conditions must be met:","Alle der folgenden Bedingungen müssen zutreffen:"
"At least one of the following conditions must be met:","Mindestens eine der folgenden Bedingungen muss zutreffen:"
